Time,Data
20010203,12.8
20010204,12.7
20010205,13.2
20010206,12.8
20010207,12.4
20010208,12.3
20010209,12.5
20010210,12.5
20010211,12.6
20010212,13.0
20010213,12.8
20010214,13.2
20010215,13.0
20010216,12.7
20010217,13.1
20010218,13.2
20010219,12.8
20010220,13.1
20010221,12.4
20010222,12.5
20010223,12.8
20010224,12.7
20010225,12.2
20010226,12.4
20010227,12.5
20010228,12.3
20010301,12.4
20010302,12.4
20010303,12.8
20010304,12.6
20010305,12.4
20010306,12.5
20010307,12.7
20010308,12.7
20010309,12.6
20010310,12.4
20010311,12.2
20010312,11.9
20010313,12.1
20010314,12.3
20010315,12.9
20010316,13.0
20010317,12.9
20010318,12.6
20010319,12.4
20010320,12.5
20010321,12.2
20010322,12.7
20010323,12.8
20010324,12.8
20010325,12.6
20010326,13.2
20010327,12.7
20010328,12.8
20010329,12.6
20010330,12.4
20010331,12.5
20010401,12.5
20010402,12.2
20010403,12.3
20010404,12.5
20010405,13.4
20010406,12.9
20010407,13.6
20010408,13.9
20010409,13.7
20010410,13.2
20010411,13.9
20010412,13.6
20010413,13.6
20010414,14.0
20010415,13.5
20010416,13.8
20010417,13.2
20010418,13.7
20010419,14.1
20010420,14.0
20010421,13.3
20010422,13.5
20010423,13.6
20010424,13.8
20010425,13.9
20010426,13.4
20010427,13.7
20010428,14.2
20010429,13.7
20010430,14.0
20010501,14.2
20010502,14.2
20010503,14.4
20010504,13.7
20010505,14.4
20010506,14.4
20010507,13.8
20010508,14.3
20010509,13.7
20010510,13.8
20010511,13.9
20010512,14.6
20010513,14.5
20010514,14.3
20010515,14.2
20010516,14.2
20010517,13.5
20010518,13.8
20010519,13.8
20010520,13.7
20010521,13.5
20010522,14.0
20010523,13.6
20010524,13.9
20010525,13.8
20010526,14.4
20010527,14.1
20010528,14.0
20010529,14.1
20010530,13.5
20010531,14.4
20010601,14.6
20010602,13.8
20010603,13.7
20010604,13.3
20010605,13.7
20010606,13.6
20010607,14.2
20010608,14.1
20010609,14.3
20010610,13.8
20010611,14.3
20010612,14.0
20010613,14.5
20010614,15.1
20010615,14.7
20010616,14.3
20010617,14.7
20010618,14.5
20010619,15.0
20010620,15.0
20010621,14.5
20010622,14.8
20010623,15.2
20010624,15.1
20010625,14.1
20010626,14.6
20010627,15.1
20010628,14.7
20010629,15.0
20010630,15.1
20010701,14.7
20010702,14.6
20010703,14.6
20010704,14.8
20010705,14.9
20010706,14.9
20010707,14.6
20010708,14.9
20010709,14.8
20010710,14.7
20010711,15.0
20010712,14.9
20010713,14.8
20010714,14.5
20010715,15.1
20010716,14.5
20010717,14.3
20010718,14.5
20010719,14.3
20010720,14.3
20010721,14.1
20010722,14.0
20010723,14.1
20010724,14.4
20010725,13.8
20010726,14.1
20010727,14.4
20010728,14.0
20010729,14.1
20010730,13.9
20010731,14.0
20010801,13.4
20010802,14.3
20010803,14.5
20010804,14.2
20010805,14.6
20010806,14.4
20010807,13.6
20010808,13.9
20010809,14.5
20010810,14.0
20010811,14.1
20010812,13.9
20010813,13.9
20010814,14.0
20010815,14.0
20010816,14.3
20010817,14.4
20010818,14.5
20010819,14.4
20010820,14.9
20010821,15.4
20010822,15.6
20010823,14.9
20010824,15.6
20010825,14.7
20010826,15.5
20010827,14.6
20010828,15.3
20010829,15.5
20010830,14.8
20010831,14.1
20010901,14.7
20010902,14.7
20010903,14.7
20010904,14.6
20010905,14.7
20010906,15.3
20010907,15.8
20010908,14.7
20010909,15.4
20010910,14.8
20010911,14.6
20010912,14.7
20010913,14.6
20010914,14.4
20010915,14.2
20010916,14.7
20010917,15.0
20010918,14.9
20010919,14.9
20010920,14.9
20010921,14.3
20010922,13.9
20010923,13.9
20010924,13.7
20010925,13.9
20010926,15.2
20010927,14.5
20010928,14.6
20010929,14.9
20010930,14.7
20011001,14.8
20011002,15.1
20011003,14.6
20011004,14.6
20011005,14.6
20011006,14.9
20011007,14.6
20011008,14.6
20011009,14.8
20011010,15.4
20011011,14.5
20011012,14.3
20011013,14.5
20011014,14.7
20011015,15.3
20011016,14.9
20011017,14.5
20011018,14.5
20011019,14.7
20011020,13.9
20011021,13.8
20011022,14.0
20011023,14.4
20011024,13.7
20011025,13.7
20011026,14.0
20011027,14.4
20011028,14.2
20011029,14.0
20011030,14.0
20011031,13.6
20011101,14.0
20011102,13.9
20011103,13.4
20011104,13.4
20011105,13.4
20011106,13.2
20011107,13.3
20011108,13.6
20011109,13.3
20011110,13.2
20011111,13.5
20011112,13.7
20011113,13.4
20011114,13.7
20011115,13.2
20011116,13.4
20011117,13.5
20011118,13.6
20011119,13.4
20011120,13.0
20011121,13.3
20011122,13.1
20011123,13.1
20011124,12.9
20011125,12.7
20011126,12.9
20011127,12.9
20011128,13.3
20011129,12.9
20011130,12.3
20011201,13.3
20011202,12.7
20011203,12.5
20011204,12.6
20011205,12.5
20011206,12.4
20011207,12.2
20011208,11.9
20011209,12.3
20011210,12.0
20011211,12.4
20011212,12.1
20011213,11.7
20011214,12.7
20011215,12.4
20011216,12.1
20011217,11.8
20011218,11.5
20011219,11.8
20011220,11.9
20011221,11.4
20011222,11.1
20011223,11.2
20011224,11.2
20011225,12.0
20011226,11.6
20011227,11.2
20011228,11.4
20011229,11.6
20011230,12.3
20011231,11.6
20020101,11.3
20020102,11.7
20020103,11.7
20020104,11.4
20020105,11.1
20020106,11.6
20020107,11.3
20020108,11.3
20020109,11.5
20020110,10.9
20020111,11.4
20020112,11.3
20020113,11.4
20020114,11.7
20020115,11.8
20020116,11.7
20020117,12.2
20020118,12.6
20020119,11.2
20020120,11.3
20020121,11.6
20020122,10.5
20020123,11.0
20020124,11.7
20020125,11.6
20020126,11.9
20020127,11.4
20020128,11.9
20020129,11.6
20020130,11.4
20020131,11.5
20020201,11.6
20020202,11.0
20020203,11.0
20020204,11.4
20020205,12.0
20020206,11.3
20020207,11.3
20020208,11.4
20020209,11.1
20020210,11.9
20020211,11.8
20020212,11.8
20020213,11.7
20020214,11.6
20020215,11.9
20020216,11.1
20020217,11.2
20020218,11.5
20020219,11.5
20020220,11.1
20020221,11.3
20020222,12.1
20020223,11.2
20020224,11.1
20020225,11.7
20020226,10.9
20020227,11.6
20020228,11.3
20020301,11.6
20020302,11.3
20020303,11.4
20020304,11.5
20020305,11.2
20020306,11.6
20020307,11.2
20020308,11.5
20020309,11.2
20020310,11.4
20020311,11.3
20020312,11.8
20020313,11.2
20020314,11.4
20020315,11.4
20020316,11.4
20020317,11.5
20020318,11.6
20020319,11.0
20020320,11.6
20020321,11.3
20020322,11.6
20020323,11.3
20020324,11.1
20020325,10.9
20020326,11.4
20020327,11.2
20020328,11.5
20020329,11.1
20020330,11.2
20020331,10.9
20020401,11.5
20020402,11.2
20020403,11.5
20020404,10.9
20020405,12.9
20020406,14.5
20020407,13.1
20020408,14.3
20020409,13.1
20020410,14.4
20020411,14.3
20020412,13.2
20020413,13.6
20020414,13.3
20020415,13.7
20020416,13.8
20020417,12.8
20020418,12.5
20020419,13.6
20020420,13.5
20020421,13.2
20020422,13.7
20020423,13.1
20020424,13.0
20020425,12.7
20020426,13.3
20020427,12.2
20020428,13.4
20020429,12.8
20020430,12.8
20020501,12.8
20020502,12.9
20020503,12.8
20020504,12.7
20020505,13.1
20020506,13.1
20020507,13.2
20020508,12.8
20020509,13.3
20020510,12.8
20020511,13.4
20020512,13.9
20020513,13.4
20020514,13.9
20020515,14.2
20020516,14.0
20020517,14.0
20020518,14.0
20020519,13.9
20020520,13.9
20020521,13.4
20020522,13.8
20020523,13.9
20020524,13.6
20020525,13.5
20020526,13.7
20020527,13.9
20020528,14.0
20020529,13.7
20020530,13.6
20020531,13.9
20020601,13.6
20020602,13.5
20020603,14.5
20020604,14.5
20020605,14.3
20020606,14.5
20020607,14.3
20020608,14.1
20020609,13.5
20020610,14.0
20020611,13.9
