Time,Data
20010203,14.2
20010204,14.9
20010205,15.1
20010206,14.8
20010207,14.6
20010208,13.2
20010209,14.1
20010210,13.6
20010211,13.9
20010212,14.4
20010213,13.8
20010214,13.5
20010215,13.5
20010216,13.5
20010217,14.2
20010218,13.9
20010219,14.2
20010220,14.7
20010221,14.4
20010222,14.8
20010223,14.5
20010224,14.8
20010225,14.4
20010226,14.6
20010227,15.0
20010228,14.4
20010301,14.6
20010302,15.0
20010303,14.6
20010304,13.7
20010305,14.1
20010306,13.9
20010307,13.7
20010308,13.4
20010309,13.7
20010310,14.3
20010311,13.8
20010312,13.0
20010313,14.5
20010314,14.8
20010315,15.4
20010316,14.4
20010317,14.5
20010318,14.5
20010319,13.6
20010320,13.8
20010321,13.8
20010322,13.6
20010323,13.6
20010324,14.1
20010325,14.4
20010326,14.3
20010327,14.4
20010328,13.7
20010329,14.5
20010330,15.4
20010331,16.1
20010401,14.1
20010402,13.8
20010403,13.9
20010404,14.8
20010405,14.0
20010406,14.8
20010407,14.8
20010408,14.7
20010409,14.9
20010410,14.9
20010411,14.6
20010412,14.6
20010413,15.0
20010414,15.8
20010415,14.7
20010416,15.5
20010417,15.0
20010418,15.4
20010419,15.5
20010420,15.3
20010421,15.2
20010422,14.6
20010423,14.6
20010424,15.8
20010425,16.0
20010426,16.3
20010427,16.9
20010428,16.4
20010429,16.2
20010430,16.2
20010501,15.3
20010502,14.5
20010503,14.4
20010504,14.2
20010505,15.5
20010506,15.3
20010507,15.0
20010508,15.1
20010509,14.6
20010510,15.0
20010511,14.9
20010512,15.4
20010513,16.0
20010514,15.2
20010515,14.7
20010516,15.1
20010517,15.1
20010518,14.8
20010519,15.3
20010520,15.0
20010521,14.9
20010522,15.6
20010523,16.1
20010524,15.6
20010525,16.4
20010526,16.7
20010527,15.8
20010528,16.1
20010529,15.9
20010530,16.2
20010531,15.8
20010601,15.8
20010602,15.7
20010603,15.7
20010604,16.2
20010605,16.2
20010606,16.7
20010607,17.0
20010608,16.8
20010609,17.9
20010610,17.7
20010611,15.8
20010612,15.4
20010613,15.8
20010614,16.3
20010615,16.0
20010616,15.4
20010617,16.3
20010618,16.2
20010619,16.9
20010620,15.7
20010621,15.9
20010622,17.3
20010623,15.5
20010624,16.5
20010625,15.9
20010626,15.8
20010627,15.5
20010628,16.2
20010629,16.2
20010630,16.0
20010701,15.8
20010702,17.3
20010703,16.5
20010704,17.9
20010705,17.1
20010706,17.4
20010707,17.3
20010708,16.9
20010709,16.6
20010710,16.2
20010711,16.3
20010712,16.2
20010713,16.7
20010714,16.8
20010715,16.8
20010716,16.3
20010717,15.4
20010718,17.6
20010719,16.0
20010720,16.4
20010721,16.2
20010722,17.5
20010723,16.7
20010724,16.7
20010725,16.3
20010726,16.8
20010727,16.7
20010728,16.7
20010729,16.9
20010730,17.3
20010731,17.2
20010801,16.0
20010802,17.1
20010803,17.2
20010804,16.7
20010805,17.1
20010806,16.4
20010807,16.8
20010808,16.2
20010809,16.4
20010810,15.8
20010811,16.3
20010812,16.2
20010813,16.0
20010814,14.3
20010815,16.5
20010816,16.4
20010817,16.6
20010818,15.7
20010819,16.4
20010820,16.3
20010821,16.4
20010822,16.0
20010823,15.9
20010824,15.8
20010825,15.5
20010826,15.1
20010827,15.7
20010828,15.7
20010829,16.2
20010830,15.0
20010831,15.9
20010901,16.5
20010902,16.6
20010903,16.0
20010904,16.9
20010905,15.7
20010906,16.4
20010907,15.6
20010908,15.8
20010909,15.5
20010910,15.5
20010911,15.0
20010912,15.5
20010913,16.5
20010914,16.0
20010915,16.6
20010916,15.7
20010917,16.0
20010918,16.3
20010919,15.7
20010920,15.7
20010921,15.5
20010922,15.8
20010923,16.1
20010924,15.4
20010925,16.0
20010926,15.9
20010927,16.1
20010928,16.0
20010929,15.6
20010930,16.6
20011001,15.4
20011002,15.4
20011003,14.8
20011004,15.2
20011005,15.7
20011006,15.1
20011007,15.8
20011008,16.2
20011009,16.0
20011010,13.9
20011011,14.0
20011012,16.0
20011013,16.9
20011014,15.7
20011015,16.8
20011016,15.6
20011017,15.6
20011018,16.6
20011019,15.8
20011020,16.2
20011021,16.3
20011022,15.8
20011023,16.1
20011024,15.8
20011025,15.2
20011026,16.2
20011027,15.9
20011028,15.6
20011029,15.2
20011030,14.5
20011031,15.1
20011101,15.3
20011102,14.8
20011103,15.0
20011104,15.0
20011105,15.1
20011106,14.5
20011107,15.0
20011108,16.0
20011109,15.3
20011110,15.3
20011111,15.3
20011112,15.3
20011113,14.8
20011114,14.8
20011115,14.8
20011116,14.9
20011117,15.8
20011118,13.5
20011119,14.6
20011120,14.9
20011121,15.2
20011122,14.6
20011123,15.2
20011124,14.5
20011125,14.9
20011126,15.1
20011127,14.5
20011128,15.2
20011129,15.6
20011130,15.6
20011201,15.6
20011202,15.7
20011203,15.2
20011204,15.2
20011205,15.2
20011206,14.7
20011207,14.6
20011208,14.4
20011209,15.5
20011210,14.5
20011211,14.6
20011212,14.9
20011213,15.0
20011214,14.8
20011215,14.3
20011216,14.2
20011217,15.0
20011218,15.8
20011219,16.0
20011220,14.5
20011221,14.4
20011222,14.5
20011223,14.9
20011224,14.9
20011225,15.2
20011226,15.7
20011227,15.2
20011228,14.7
20011229,15.4
20011230,14.7
20011231,14.7
20020101,14.6
20020102,15.1
20020103,14.2
20020104,13.7
20020105,15.1
20020106,15.4
20020107,15.4
20020108,14.5
20020109,15.0
20020110,15.2
20020111,15.0
20020112,14.7
20020113,14.4
20020114,15.2
20020115,15.5
20020116,14.4
20020117,14.7
20020118,14.7
20020119,14.5
20020120,14.9
20020121,15.3
20020122,14.6
20020123,13.3
20020124,13.5
20020125,15.1
20020126,14.5
20020127,15.4
20020128,15.5
20020129,16.0
20020130,15.3
20020131,14.7
20020201,15.2
20020202,14.9
20020203,15.0
20020204,15.0
20020205,14.6
20020206,14.8
20020207,14.7
20020208,14.9
20020209,14.9
20020210,15.1
20020211,15.8
20020212,15.0
20020213,15.6
20020214,15.7
20020215,15.3
20020216,14.3
20020217,14.9
20020218,15.8
20020219,14.4
20020220,14.5
20020221,15.1
20020222,15.6
20020223,14.5
20020224,14.9
20020225,15.0
20020226,15.3
20020227,14.6
20020228,15.0
20020301,14.1
20020302,15.5
20020303,15.2
20020304,15.1
20020305,14.8
20020306,15.7
20020307,15.7
20020308,14.1
20020309,14.5
20020310,14.1
20020311,14.6
20020312,14.7
20020313,15.3
20020314,14.0
20020315,14.1
20020316,14.0
20020317,14.8
20020318,14.2
20020319,12.7
20020320,13.3
20020321,13.7
20020322,14.0
20020323,14.6
20020324,13.2
20020325,13.8
20020326,13.8
20020327,14.0
20020328,13.5
20020329,13.7
20020330,13.5
20020331,13.8
20020401,13.6
20020402,13.7
20020403,13.6
20020404,14.0
20020405,13.4
20020406,14.7
20020407,14.5
20020408,14.3
20020409,16.1
20020410,15.4
20020411,15.3
20020412,15.2
20020413,14.0
20020414,14.7
20020415,15.2
20020416,15.7
20020417,14.4
20020418,14.3
20020419,15.1
20020420,14.7
20020421,14.7
20020422,15.1
20020423,15.4
20020424,15.7
20020425,15.9
20020426,15.5
20020427,15.2
20020428,16.1
20020429,14.9
20020430,15.5
20020501,15.4
20020502,16.1
20020503,15.2
20020504,15.7
20020505,15.9
20020506,15.2
20020507,16.5
20020508,16.1
20020509,15.4
20020510,15.2
20020511,15.4
20020512,15.8
20020513,15.8
20020514,14.9
20020515,15.2
20020516,15.2
20020517,15.0
20020518,15.7
20020519,14.1
20020520,14.7
20020521,15.1
20020522,15.2
20020523,15.6
20020524,14.4
20020525,14.3
20020526,14.3
20020527,14.7
20020528,14.2
20020529,15.1
20020530,14.8
20020531,15.3
20020601,15.4
20020602,15.8
20020603,15.3
20020604,15.3
20020605,15.5
20020606,15.6
20020607,15.3
20020608,15.7
20020609,15.5
20020610,15.5
20020611,15.0
20020612,15.0
20020613,15.1
20020614,14.7
20020615,15.3
20020616,14.7
20020617,15.6
20020618,15.6
20020619,15.0
20020620,15.1
20020621,15.9
20020622,15.3
20020623,15.4
20020624,14.6
20020625,16.5
20020626,15.7
20020627,15.3
20020628,16.4
20020629,15.4
20020630,15.4
20020701,15.2
20020702,14.6
20020703,14.9
20020704,15.2
20020705,15.2
20020706,14.5
20020707,15.2
20020708,15.3
20020709,15.0
20020710,15.1
20020711,14.5
20020712,15.4
20020713,15.2
20020714,15.4
20020715,15.7
20020716,15.1
20020717,16.0
20020718,14.6
20020719,16.3
20020720,15.6
20020721,14.9
20020722,15.2
20020723,16.1
20020724,15.4
20020725,15.7
20020726,15.5
20020727,15.8
20020728,15.2
20020729,15.9
20020730,15.4
20020731,16.3
20020801,15.8
20020802,15.2
20020803,15.3
20020804,15.6
20020805,15.6
20020806,15.1
20020807,15.5
20020808,16.2
20020809,15.0
20020810,15.5
20020811,15.4
20020812,14.9
20020813,15.9
20020814,15.8
20020815,15.6
20020816,15.0
20020817,15.1
20020818,15.2
20020819,15.0
20020820,15.3
20020821,15.0
20020822,15.4
20020823,15.4
20020824,15.9
20020825,15.9
20020826,16.1
20020827,16.1
20020828,16.3
20020829,15.4
20020830,16.0
20020831,16.0
20020901,15.4
20020902,15.8
20020903,15.9
20020904,15.0
20020905,15.0
20020906,14.9
20020907,14.7
20020908,14.5
20020909,15.7
20020910,14.9
20020911,14.6
20020912,15.4
20020913,15.4
20020914,14.8
20020915,14.9
20020916,14.3
20020917,14.5
20020918,14.2
20020919,15.2
20020920,14.7
20020921,14.7
20020922,15.0
20020923,15.0
20020924,15.1
20020925,14.8
20020926,14.8
20020927,14.6
20020928,14.5
20020929,14.5
20020930,14.3
20021001,14.5
20021002,14.5
20021003,13.9
20021004,14.3
20021005,14.1
20021006,14.0
20021007,14.2
20021008,14.8
20021009,14.4
20021010,14.4
20021011,14.5
20021012,14.0
20021013,14.1
20021014,14.4
20021015,14.3
20021016,14.3
20021017,14.2
20021018,14.1
20021019,14.2
20021020,14.1
20021021,13.8
20021022,13.5
20021023,13.3
20021024,13.0
20021025,13.6
20021026,14.0
20021027,13.5
20021028,14.8
20021029,13.6
20021030,15.7
20021031,14.3
20021101,14.5
20021102,14.2
20021103,14.3
20021104,14.1
20021105,14.1
20021106,13.9
20021107,13.8
20021108,13.8
20021109,13.9
20021110,14.0
20021111,14.6
20021112,14.2
20021113,13.9
20021114,14.1
20021115,13.5
20021116,13.4
20021117,14.5
20021118,14.3
20021119,14.3
20021120,14.2
20021121,14.7
20021122,14.4
20021123,14.5
20021124,14.6
20021125,14.6
20021126,14.3
20021127,14.2
20021128,14.1
20021129,14.2
20021130,14.2
20021201,14.2
20021202,13.8
20021203,13.5
20021204,13.7
20021205,14.3
20021206,14.0
20021207,14.3
20021208,14.0
20021209,13.9
20021210,15.0
20021211,14.1
20021212,14.8
20021213,14.2
20021214,14.0
20021215,14.7
20021216,14.5
20021217,14.2
20021218,14.4
20021219,15.0
20021220,14.6
20021221,14.2
20021222,14.4
20021223,14.0
20021224,14.4
20021225,13.5
20021226,13.6
20021227,14.1
20021228,14.5
20021229,13.1
20021230,14.6
20021231,15.5
20030101,14.5
20030102,14.8
20030103,13.9
20030104,14.5
20030105,14.7
20030106,14.5
20030107,14.6
20030108,14.1
20030109,14.7
20030110,14.5
20030111,14.3
20030112,14.2
20030113,14.7
20030114,14.5
20030115,14.1
20030116,13.7
20030117,14.3
20030118,14.5
20030119,14.0
20030120,14.1
20030121,14.5
20030122,15.1
20030123,14.2
20030124,15.0
20030125,14.7
20030126,14.5
20030127,14.3
20030128,14.2
20030129,14.2
20030130,14.1
20030131,14.5
20030201,14.1
20030202,14.3
20030203,13.3
20030204,14.1
20030205,14.2
20030206,13.8
20030207,13.9
20030208,13.9
20030209,14.0
20030210,14.0
20030211,14.2
20030212,14.1
20030213,14.4
20030214,14.1
20030215,14.3
20030216,14.2
20030217,14.0
20030218,14.3
20030219,14.1
20030220,13.9
20030221,14.0
20030222,14.1
20030223,13.8
20030224,13.5
20030225,14.0
20030226,13.8
20030227,14.7
20030228,14.0
20030301,13.8
20030302,14.8
20030303,14.7
20030304,13.7
20030305,14.4
20030306,14.4
20030307,14.4
20030308,14.8
20030309,15.0
20030310,14.4
20030311,14.7
20030312,14.2
20030313,14.4
20030314,14.3
20030315,14.5
20030316,14.5
20030317,13.7
20030318,14.4
20030319,14.8
20030320,14.2
20030321,14.0
20030322,14.1
20030323,13.7
20030324,13.3
20030325,13.4
20030326,14.2
20030327,14.7
20030328,14.4
20030329,14.1
20030330,14.8
20030331,14.5
20030401,14.6
20030402,14.2
20030403,14.4
20030404,14.2
20030405,14.3
20030406,14.1
20030407,14.0
20030408,14.5
20030409,13.7
20030410,13.6
20030411,13.6
20030412,14.1
20030413,14.0
20030414,13.4
20030415,13.6
20030416,13.5
20030417,14.1
20030418,13.7
20030419,13.3
20030420,13.7
20030421,13.7
20030422,13.6
20030423,13.6
20030424,13.4
20030425,13.2
20030426,13.7
20030427,13.6
20030428,14.2
20030429,13.9
20030430,13.7
20030501,13.6
20030502,14.1
20030503,13.8
20030504,14.4
20030505,15.2
20030506,15.4
20030507,15.1
20030508,15.5
20030509,15.8
20030510,15.5
20030511,14.8
20030512,15.3
20030513,15.4
20030514,15.3
20030515,15.7
20030516,15.2
20030517,15.3
20030518,15.2
20030519,15.1
20030520,14.7
20030521,15.2
20030522,14.7
20030523,14.7
20030524,15.5
20030525,15.4
